Text,Buidling,Scores
1 Bedroom 1 Bathroom Condominium for Rent at The Line Sukhumvit 101 is located on Sukhumvit Road near the Express way and with just 250 meters from BTS Punnawithi. This unit is fully-furnished with electric appliances such as sofa dining table chairs working table refrigerator electric stove microwave and air-conditioners. The Line Sukhumvit 101 with 2 minutes walking to BTS Punnawithi. Nearby places are including Community Mall International Restaurant Street Food Local Food and International Food such as Central Plaza Bangna Anglo Singapore International School Paradise Park Tesco Lotus Superstore Century Movie Plaza Sukhumvit Seacon Bangkae Shopping Mall Mega Bangna and Sukhumvit Hospital. The Condominium has created the Co-Kitchen area with Scavolin kitchenware the wide open-air feel is complemented by amenities such as an Olympic size Swimming pool and Jacuzzi. The attraction of the facility is on the 37th floor designed to be the LED Multi-Sports Court. Also Co-Working space Garden Pavillian Game room Fitness Gymnasium room Library CCTV and 24 hours Security.,The Line Sukhumvit 101,[{"\n":-0.0006226567} {"The":-0.3655625} {" Line":-0.000040963423} {" Su":-0.000014854846} {"kh":-4.277735e-7} {"um":-0.000014854846} {"v":-0.000013661821} {"it":-0.000008892534} {" 101":-0.000042631407}]
KnightsBridge Prime Onnut condonear BTS On Nutnew 1 bedroom 1 bathroom 24 sqmfully furnished with washing machineLine: tftjimmy,KnightsBridge Prime Onnut,[{"\n":-0.0028579724} {"Kn":-0.01606185} {"ights":-0.000005912312} {"Bridge":-0.03797111} {" Prime":-0.000009846204} {" On":-0.000029756868} {"nut":-0.003611668}]
Reference code: P09CF2010128 Project name : SOCIO Inthamara Bedroom : 1 Bathroom : 1 Area : 32 Selling price : Rent Price : 12000 ----------------------------- Incube Realty Co. Ltd. Mobile : Line-ID: incube168 Email : -----------------------,SOCIO Inthamara,[{"\n":-0.025439616} {"S":-0.4780155} {"OC":-0.014841626} {"IO":-0.0000063900848} {" In":-0.00094590924} {"th":-0.0000036482897} {"amara":-0.00006408898}]
Only 2 minutes from On-nut BTS station and you will meet hi-rise condominium where imitate Sport Complex to this quality project of Sansiri the BASE Sukhumvit 77.This magnificent one bedrooms one bathroom unit comes in size 30 Sq.m. providing a relaxing view of Bangkok.,BASE Sukhumvit 77,[{"\n":-0.00047541337} {"B":-0.8582028} {"ASE":-0.0000087733215} {" Su":-0.000049427246} {"kh":-7.8540467e-7} {"um":-0.000007698572} {"v":-0.0000025744682} {"it":-6.827632e-8} {" 77":-0.0000029311614}]
THE BASE Park East Sukhumvit 77 The beautiful residence. This well-presented one bedroom comes with bright and airy living room modern kitchen with ample storage space and brilliant bedroom with wardrobe. Easy transportation both Sukhumvit 71 and Sukhumvit 77 road. The fully furnished unit features 1 bedroom and 1 bathroom for sale and rent with unblocked views comes in size 26 sq.m. Ready to move in now,The Base Park East Sukhumvit 77,[{"\n":-0.00013264055} {"The":-0.4120653} {" Base":-0.26369855} {" Park":-0.00002462996} {" East":-0.000011514188} {" Su":-0.00008781245} {"kh":-9.055464e-7} {"um":-0.000009370307} {"v":-0.0000034089344} {"it":-3.076318e-7} {" 77":-0.0000053162735}]
The Tree Charan 30 a fully renovated condo 1 bedroom 24 square meters close to the intersection of Torch and Skytrain only 250 meters with full facilities such as swimming pool fitness center and coworking space. Both not far from major shopping centers Central Pinklao Pata Pinklao Comfortable with traveling both by car and by train in the future,Tree Charan 30,[{"\n":-0.002482413} {"Tree":-0.03426175} {" Char":-0.00020906834} {"an":-0.000010681599} {" 30":-0.00024883242}]
Condominium 31th Floor: 1 Building,The Condominium,[{"\n":-0.061921846} {"The":-0.34624302} {" Cond":-1.2978966} {"ominium":-0.006754192}]
Reference code: P09CF2010653 Project name : The Base Phetkasem Bedroom : 1 Bathroom : 1 Area : 24 Selling price : Rent Price : 9000 ----------------------------- Incube Realty Co. Ltd. Mobile : Line-ID: incube168 Email : -----------------------,The Base Phetkasem,[{"\n":-0.0013290665} {"The":-0.0034245644} {" Base":-0.0000797072} {" P":-0.000030947078} {"het":-0.0000015006569} {"kas":-0.000012351458} {"em":-0.0000011430258}]
Niche Mono Sukhumvit 50Room type : Studio 23.55 sqm.Building : AFloor : 3rdPrice 9500 per monthCONTACTLine : nansuwankanTel :,Niche Mono Sukhumvit 50,[{"\n":-0.029137716} {"N":-0.09390138} {"iche":-0.0008842211} {" Mono":-0.00019619097} {" Su":-0.00009317965} {"kh":-9.055464e-7} {"um":-0.0000016207987} {"v":-0.0000041232483} {"it":-6.6619094e-7} {" 50":-0.00003953198}]
Blocs 77 2020-24923th FloorMountain Sky viewAsking 11k31.53sqm,Blocs 77,[{"\n":-0.06109725} {"Bl":-0.7512937} {"oc":-0.00017091405} {"s":-0.0017440164} {" 77":-0.00080893666}]
